epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.6378,0.98082,0.91803,1,0.91394,0.000236624,0.000236624,0.000236624
2,43.176,0.36334,0.96721,1,0.80477,0.000469925,0.000469925,0.000469925
3,62.2205,0.25439,0.97268,1,0.78027,0.000698514,0.000698514,0.000698514
4,88.2404,0.21704,0.93443,1,0.82332,0.000692794,0.000692794,0.000692794
5,112.369,0.18999,0.99454,1,0.76477,0.000685726,0.000685726,0.000685726
6,136.307,0.15003,0.98907,1,0.77043,0.000678657,0.000678657,0.000678657
7,160.567,0.16314,0.97268,1,0.77848,0.000671588,0.000671588,0.000671588
8,183.912,0.1323,0.96721,1,0.78076,0.00066452,0.00066452,0.00066452
9,208.662,0.12489,0.98907,1,0.75989,0.000657451,0.000657451,0.000657451
10,231.88,0.11172,1,1,0.75505,0.000650383,0.000650383,0.000650383
11,255.521,0.08441,1,1,0.75094,0.000643314,0.000643314,0.000643314
12,280.185,0.1128,1,1,0.75187,0.000636245,0.000636245,0.000636245
13,305.804,0.07796,1,1,0.75049,0.000629177,0.000629177,0.000629177
14,332.07,0.07019,0.99454,1,0.75911,0.000622108,0.000622108,0.000622108
15,358.465,0.06819,1,1,0.74841,0.00061504,0.00061504,0.00061504
16,385.859,0.08085,0.99454,1,0.7607,0.000607971,0.000607971,0.000607971
17,412.586,0.06956,1,1,0.75289,0.000600902,0.000600902,0.000600902
18,438.891,0.07087,0.98361,1,0.76481,0.000593834,0.000593834,0.000593834
19,465.993,0.06444,0.97814,1,0.76815,0.000586765,0.000586765,0.000586765
20,492.109,0.05694,0.98907,1,0.75907,0.000579697,0.000579697,0.000579697
21,516.806,0.05594,0.99454,1,0.75354,0.000572628,0.000572628,0.000572628
22,542.203,0.07077,1,1,0.74878,0.000565559,0.000565559,0.000565559
23,568.538,0.05575,0.98907,1,0.76274,0.000558491,0.000558491,0.000558491
24,594.604,0.04497,0.98907,1,0.76331,0.000551422,0.000551422,0.000551422
25,621.611,0.05092,0.98361,1,0.76335,0.000544354,0.000544354,0.000544354
26,647.434,0.05365,0.99454,1,0.75326,0.000537285,0.000537285,0.000537285
