epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.4856,0.89936,0.90226,1,0.77989,0.000236169,0.000236169,0.000236169
2,29.93,0.45685,0.97744,1,0.61453,0.000469475,0.000469475,0.000469475
3,40.7671,0.32957,0.96992,1,0.59717,0.000698068,0.000698068,0.000698068
4,53.1961,0.26379,0.98496,1,0.58735,0.000692794,0.000692794,0.000692794
5,68.6345,0.23261,1,1,0.58225,0.000685726,0.000685726,0.000685726
6,83.9313,0.21407,0.99248,1,0.57221,0.000678657,0.000678657,0.000678657
7,99.4097,0.15419,0.97744,1,0.58697,0.000671588,0.000671588,0.000671588
8,114.841,0.20385,0.99248,1,0.57275,0.00066452,0.00066452,0.00066452
9,130.699,0.14227,0.99248,1,0.56375,0.000657451,0.000657451,0.000657451
10,145.984,0.16078,0.99248,1,0.56592,0.000650383,0.000650383,0.000650383
11,161.3,0.1269,0.99248,1,0.57612,0.000643314,0.000643314,0.000643314
12,177.531,0.12247,0.99248,1,0.57992,0.000636245,0.000636245,0.000636245
13,192.715,0.11683,0.97744,1,0.57037,0.000629177,0.000629177,0.000629177
14,210.397,0.10164,0.99248,1,0.56657,0.000622108,0.000622108,0.000622108
15,226.233,0.0911,0.99248,1,0.5682,0.00061504,0.00061504,0.00061504
16,242.629,0.06747,1,1,0.56093,0.000607971,0.000607971,0.000607971
17,258.872,0.06587,0.98496,1,0.57476,0.000600902,0.000600902,0.000600902
18,275.581,0.074,0.99248,1,0.56717,0.000593834,0.000593834,0.000593834
19,292.494,0.06775,0.99248,1,0.57476,0.000586765,0.000586765,0.000586765
20,308.821,0.08976,0.99248,1,0.56348,0.000579697,0.000579697,0.000579697
21,326.444,0.05375,0.99248,1,0.56603,0.000572628,0.000572628,0.000572628
22,342.515,0.07115,0.99248,1,0.56478,0.000565559,0.000565559,0.000565559
23,358.604,0.07112,0.98496,1,0.57096,0.000558491,0.000558491,0.000558491
24,375.408,0.06862,0.99248,1,0.56879,0.000551422,0.000551422,0.000551422
25,392.883,0.06696,0.99248,1,0.55865,0.000544354,0.000544354,0.000544354
26,408.671,0.04361,0.99248,1,0.56782,0.000537285,0.000537285,0.000537285
27,425.671,0.05688,0.99248,1,0.56434,0.000530216,0.000530216,0.000530216
28,442.876,0.06131,0.98496,1,0.5778,0.000523148,0.000523148,0.000523148
29,458.723,0.04426,0.98496,1,0.56977,0.000516079,0.000516079,0.000516079
30,476.608,0.07092,0.99248,1,0.56011,0.000509011,0.000509011,0.000509011
31,493.545,0.05117,0.99248,1,0.56217,0.000501942,0.000501942,0.000501942
32,510.741,0.05072,1,1,0.55968,0.000494873,0.000494873,0.000494873
33,528.983,0.04179,1,1,0.55903,0.000487805,0.000487805,0.000487805
34,545.288,0.04165,1,1,0.55583,0.000480736,0.000480736,0.000480736
35,561.603,0.03443,1,1,0.55485,0.000473668,0.000473668,0.000473668
36,578.645,0.03838,1,1,0.55474,0.000466599,0.000466599,0.000466599
37,596.386,0.04772,0.98496,1,0.5676,0.00045953,0.00045953,0.00045953
38,612.986,0.04657,0.98496,1,0.56679,0.000452462,0.000452462,0.000452462
39,630.812,0.02753,0.99248,1,0.56087,0.000445393,0.000445393,0.000445393
40,648.677,0.04312,0.99248,1,0.55962,0.000438325,0.000438325,0.000438325
41,666.021,0.03855,1,1,0.56527,0.000431256,0.000431256,0.000431256
42,682.099,0.0562,1,1,0.55648,0.000424187,0.000424187,0.000424187
43,699.675,0.02968,1,1,0.558,0.000417119,0.000417119,0.000417119
44,717.726,0.03583,1,1,0.55935,0.00041005,0.00041005,0.00041005
45,735.436,0.0429,0.98496,1,0.56673,0.000402982,0.000402982,0.000402982
46,755.037,0.03567,1,1,0.55924,0.000395913,0.000395913,0.000395913
47,773.519,0.02401,0.99248,1,0.56179,0.000388844,0.000388844,0.000388844
48,793.2,0.02618,0.99248,1,0.55843,0.000381776,0.000381776,0.000381776
49,810.754,0.02058,0.99248,1,0.55859,0.000374707,0.000374707,0.000374707
50,831.907,0.02914,0.99248,1,0.56017,0.000367639,0.000367639,0.000367639
51,850.791,0.02528,0.99248,1,0.55735,0.00036057,0.00036057,0.00036057
52,870.548,0.03392,0.99248,1,0.56727,0.000353501,0.000353501,0.000353501
53,888.192,0.02879,0.99248,1,0.55594,0.000346433,0.000346433,0.000346433
54,909.25,0.02178,1,1,0.55339,0.000339364,0.000339364,0.000339364
55,927.906,0.04164,1,1,0.55534,0.000332296,0.000332296,0.000332296
56,946.131,0.01899,0.99248,1,0.55756,0.000325227,0.000325227,0.000325227
57,964.298,0.03205,0.99248,1,0.55811,0.000318158,0.000318158,0.000318158
58,981.089,0.02332,1,1,0.5548,0.00031109,0.00031109,0.00031109
59,1000.73,0.01726,1,1,0.55512,0.000304021,0.000304021,0.000304021
60,1019.22,0.02436,0.99248,1,0.55691,0.000296953,0.000296953,0.000296953
61,1038.29,0.01796,0.99248,1,0.55887,0.000289884,0.000289884,0.000289884
62,1059.92,0.01831,1,1,0.55556,0.000282815,0.000282815,0.000282815
63,1078.41,0.02027,0.99248,1,0.55843,0.000275747,0.000275747,0.000275747
64,1099.65,0.02005,1,1,0.5568,0.000268678,0.000268678,0.000268678
65,1118.61,0.02309,1,1,0.55653,0.00026161,0.00026161,0.00026161
66,1139.63,0.01455,1,1,0.5574,0.000254541,0.000254541,0.000254541
67,1160.48,0.02443,0.99248,1,0.55805,0.000247472,0.000247472,0.000247472
68,1180.62,0.02181,0.99248,1,0.56814,0.000240404,0.000240404,0.000240404
69,1201.51,0.01198,1,1,0.55604,0.000233335,0.000233335,0.000233335
70,1221.02,0.01938,0.98496,1,0.56125,0.000226267,0.000226267,0.000226267
71,1241.34,0.01707,1,1,0.55458,0.000219198,0.000219198,0.000219198
72,1260.98,0.01401,1,1,0.5561,0.000212129,0.000212129,0.000212129
73,1280.14,0.0141,1,1,0.55545,0.000205061,0.000205061,0.000205061
74,1300.59,0.02752,1,1,0.55501,0.000197992,0.000197992,0.000197992
75,1320.57,0.0178,1,1,0.55382,0.000190924,0.000190924,0.000190924
76,1340.4,0.0201,0.99248,1,0.55713,0.000183855,0.000183855,0.000183855
77,1359.32,0.01799,1,1,0.55382,0.000176786,0.000176786,0.000176786
78,1377.69,0.01343,1,1,0.55452,0.000169718,0.000169718,0.000169718
79,1397.27,0.00899,1,1,0.55528,0.000162649,0.000162649,0.000162649
80,1415.19,0.00972,1,1,0.55366,0.000155581,0.000155581,0.000155581
81,1435.45,0.01017,1,1,0.5529,0.000148512,0.000148512,0.000148512
82,1455.1,0.00948,0.99248,1,0.55979,0.000141443,0.000141443,0.000141443
83,1476.64,0.01431,1,1,0.55333,0.000134375,0.000134375,0.000134375
84,1496.52,0.02261,1,1,0.55512,0.000127306,0.000127306,0.000127306
85,1516.25,0.01021,1,1,0.55431,0.000120238,0.000120238,0.000120238
86,1535.23,0.01401,1,1,0.55528,0.000113169,0.000113169,0.000113169
87,1556.32,0.01297,1,1,0.55599,0.0001061,0.0001061,0.0001061
88,1575.06,0.01176,1,1,0.55664,9.90318e-05,9.90318e-05,9.90318e-05
89,1596.68,0.01495,1,1,0.55545,9.19632e-05,9.19632e-05,9.19632e-05
90,1616.22,0.01754,0.99248,1,0.55816,8.48946e-05,8.48946e-05,8.48946e-05
91,1684.38,0.00864,1,1,0.55751,7.7826e-05,7.7826e-05,7.7826e-05
92,1696.11,0.01249,1,1,0.55452,7.07574e-05,7.07574e-05,7.07574e-05
93,1708.03,0.01315,1,1,0.55507,6.36888e-05,6.36888e-05,6.36888e-05
94,1726.11,0.0236,1,1,0.55626,5.66202e-05,5.66202e-05,5.66202e-05
95,1751.21,0.01158,1,1,0.55409,4.95516e-05,4.95516e-05,4.95516e-05
96,1772.78,0.01222,1,1,0.55577,4.2483e-05,4.2483e-05,4.2483e-05
97,1794.44,0.00926,1,1,0.55718,3.54144e-05,3.54144e-05,3.54144e-05
