epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,176.162,0.89169,0.82007,1,1.13845,0.00333121,0.00333121,0.00333121
2,325.285,0.63979,0.83643,1,1.0944,0.00659857,0.00659857,0.00659857
3,454.414,0.6333,0.82974,1,1.12697,0.00979992,0.00979992,0.00979992
4,584.406,0.60286,0.79888,1,1.13622,0.009703,0.009703,0.009703
5,716.219,0.56567,0.84944,1,1.07759,0.009604,0.009604,0.009604
6,849.012,0.53417,0.86543,1,1.08261,0.009505,0.009505,0.009505
7,985.923,0.51655,0.85799,1,1.0863,0.009406,0.009406,0.009406
8,1122.18,0.49082,0.86468,1,1.07238,0.009307,0.009307,0.009307
9,1255.58,0.48855,0.87026,1,1.06264,0.009208,0.009208,0.009208
10,1391.6,0.4725,0.87138,1,1.06299,0.009109,0.009109,0.009109
11,1528.13,0.4639,0.86989,1,1.07849,0.00901,0.00901,0.00901
12,1661.41,0.45483,0.86134,1,1.07481,0.008911,0.008911,0.008911
13,1793.61,0.44734,0.87361,1,1.06442,0.008812,0.008812,0.008812
14,1927.94,0.44451,0.86357,1,1.06757,0.008713,0.008713,0.008713
15,2062.46,0.43529,0.87695,1,1.06395,0.008614,0.008614,0.008614
16,2195.58,0.42804,0.87993,1,1.05776,0.008515,0.008515,0.008515
17,2329.03,0.42462,0.87509,1,1.05577,0.008416,0.008416,0.008416
18,2461.68,0.41949,0.86952,1,1.06481,0.008317,0.008317,0.008317
19,2594.48,0.41718,0.88067,1,1.0492,0.008218,0.008218,0.008218
20,2725.88,0.41116,0.87509,1,1.05712,0.008119,0.008119,0.008119
21,2860.53,0.40734,0.87732,1,1.0486,0.00802,0.00802,0.00802
22,2993.06,0.40596,0.88178,1,1.04947,0.007921,0.007921,0.007921
23,3127.44,0.40564,0.87918,1,1.05791,0.007822,0.007822,0.007822
24,3261.24,0.39067,0.88327,1,1.04839,0.007723,0.007723,0.007723
25,7158.11,0.39444,0.88178,1,1.04518,0.007624,0.007624,0.007624
26,7285.84,0.38661,0.87881,1,1.04696,0.007525,0.007525,0.007525
27,7413.1,0.38414,0.8803,1,1.0431,0.007426,0.007426,0.007426
28,7542.7,0.37479,0.87323,1,1.04991,0.007327,0.007327,0.007327
29,7672.62,0.37995,0.8829,1,1.04799,0.007228,0.007228,0.007228
30,7802.19,0.37043,0.88178,1,1.0404,0.007129,0.007129,0.007129
31,7933.47,0.36661,0.87844,1,1.04346,0.00703,0.00703,0.00703
32,8064.66,0.36846,0.87732,1,1.04819,0.006931,0.006931,0.006931
33,8198.88,0.37076,0.88401,1,1.04236,0.006832,0.006832,0.006832
34,8330.71,0.35379,0.88327,1,1.04548,0.006733,0.006733,0.006733
35,8463.3,0.35672,0.88216,1,1.0408,0.006634,0.006634,0.006634
36,8596.66,0.3425,0.88401,1,1.03842,0.006535,0.006535,0.006535
37,8728.92,0.33524,0.88104,1,1.04098,0.006436,0.006436,0.006436
38,8861.41,0.34446,0.88104,1,1.04184,0.006337,0.006337,0.006337
39,8995.57,0.33755,0.88067,1,1.04205,0.006238,0.006238,0.006238
40,9129.49,0.33599,0.87435,1,1.04394,0.006139,0.006139,0.006139
41,9262.89,0.32882,0.87918,1,1.03983,0.00604,0.00604,0.00604
42,9396.39,0.31759,0.88439,1,1.03754,0.005941,0.005941,0.005941
43,9528.08,0.318,0.88216,1,1.03673,0.005842,0.005842,0.005842
44,9662.32,0.3205,0.87993,1,1.03533,0.005743,0.005743,0.005743
45,9795.9,0.32697,0.88216,1,1.03494,0.005644,0.005644,0.005644
46,9939.2,0.30618,0.88476,1,1.03282,0.005545,0.005545,0.005545
47,10074.1,0.31362,0.88067,1,1.03553,0.005446,0.005446,0.005446
48,10208.9,0.30488,0.88216,1,1.03662,0.005347,0.005347,0.005347
49,10341.3,0.29909,0.88476,1,1.03304,0.005248,0.005248,0.005248
50,10473.7,0.29292,0.88178,1,1.03401,0.005149,0.005149,0.005149
51,10605.6,0.29544,0.8855,1,1.03312,0.00505,0.00505,0.00505
52,10742.5,0.28851,0.8881,1,1.03458,0.004951,0.004951,0.004951
53,10875.6,0.28513,0.8855,1,1.03261,0.004852,0.004852,0.004852
54,11009.6,0.28104,0.88216,1,1.03363,0.004753,0.004753,0.004753
55,11141.6,0.26848,0.8829,1,1.03176,0.004654,0.004654,0.004654
56,11274.2,0.26878,0.88216,1,1.03164,0.004555,0.004555,0.004555
