epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,211.301,0.69611,0.92673,1,1.12928,0.00333132,0.00333132,0.00333132
2,475.867,0.31486,0.9528,1,1.10403,0.00659868,0.00659868,0.00659868
3,751.896,0.29944,0.94611,1,1.10295,0.00980003,0.00980003,0.00980003
4,1043.03,0.28746,0.9535,1,1.09884,0.009703,0.009703,0.009703
5,1339.98,0.23283,0.95667,1,1.09487,0.009604,0.009604,0.009604
6,1645.56,0.19554,0.95985,1,1.08763,0.009505,0.009505,0.009505
7,1957.08,0.17005,0.97288,1,1.0776,0.009406,0.009406,0.009406
8,2271.91,0.16585,0.96795,1,1.08644,0.009307,0.009307,0.009307
9,2592.68,0.14863,0.97429,1,1.07525,0.009208,0.009208,0.009208
10,2909.75,0.13108,0.95808,1,1.09054,0.009109,0.009109,0.009109
11,3230.13,0.11951,0.97781,1,1.07109,0.00901,0.00901,0.00901
12,3550.39,0.12525,0.97992,1,1.0705,0.008911,0.008911,0.008911
13,3886.58,0.12558,0.98204,1,1.06675,0.008812,0.008812,0.008812
14,4234.66,0.10983,0.97957,1,1.07087,0.008713,0.008713,0.008713
15,4582.08,0.11247,0.98098,1,1.06961,0.008614,0.008614,0.008614
16,4918.2,0.10122,0.9845,1,1.06326,0.008515,0.008515,0.008515
17,5256.42,0.10628,0.97816,1,1.07365,0.008416,0.008416,0.008416
18,5592.99,0.09591,0.98168,1,1.06711,0.008317,0.008317,0.008317
19,5927.38,0.09702,0.9845,1,1.06315,0.008218,0.008218,0.008218
20,6257.66,0.09279,0.98098,1,1.06809,0.008119,0.008119,0.008119
21,6590.59,0.10155,0.98591,1,1.06528,0.00802,0.00802,0.00802
22,6923.27,0.08609,0.9845,1,1.06326,0.007921,0.007921,0.007921
23,7263.07,0.08742,0.98662,1,1.06066,0.007822,0.007822,0.007822
24,7602.6,0.08615,0.98662,1,1.06306,0.007723,0.007723,0.007723
25,7950.74,0.0841,0.98979,1,1.05813,0.007624,0.007624,0.007624
26,8286.02,0.08364,0.98697,1,1.06116,0.007525,0.007525,0.007525
27,8626.4,0.07395,0.98485,1,1.06268,0.007426,0.007426,0.007426
28,8959.95,0.08095,0.98943,1,1.05757,0.007327,0.007327,0.007327
29,9291.94,0.07629,0.99049,1,1.05741,0.007228,0.007228,0.007228
30,9621.94,0.08094,0.98908,1,1.05873,0.007129,0.007129,0.007129
31,9952.93,0.07555,0.98979,1,1.05749,0.00703,0.00703,0.00703
32,10284,0.06837,0.99084,1,1.05778,0.006931,0.006931,0.006931
33,10617.2,0.0805,0.99049,1,1.05651,0.006832,0.006832,0.006832
34,10937.9,0.07018,0.98979,1,1.05751,0.006733,0.006733,0.006733
35,11261.6,0.0671,0.9919,1,1.05578,0.006634,0.006634,0.006634
36,11585.5,0.07024,0.99049,1,1.05626,0.006535,0.006535,0.006535
37,11913.4,0.06305,0.99119,1,1.05477,0.006436,0.006436,0.006436
38,12241.5,0.05914,0.9926,1,1.0542,0.006337,0.006337,0.006337
39,12582.2,0.07196,0.99084,1,1.0552,0.006238,0.006238,0.006238
40,12911.3,0.06468,0.99084,1,1.05546,0.006139,0.006139,0.006139
41,13239.8,0.06564,0.99296,1,1.0545,0.00604,0.00604,0.00604
42,13565,0.06384,0.99296,1,1.05336,0.005941,0.005941,0.005941
43,13893.6,0.06625,0.9926,1,1.05409,0.005842,0.005842,0.005842
44,14219.7,0.06209,0.99401,1,1.05361,0.005743,0.005743,0.005743
45,14550.7,0.06645,0.9926,1,1.05356,0.005644,0.005644,0.005644
46,14880.4,0.0538,0.99366,1,1.05275,0.005545,0.005545,0.005545
47,15210.3,0.05813,0.99366,1,1.05289,0.005446,0.005446,0.005446
48,15543.7,0.05232,0.99296,1,1.05264,0.005347,0.005347,0.005347
49,15870.9,0.0529,0.99366,1,1.05273,0.005248,0.005248,0.005248
50,16198.9,0.05268,0.9926,1,1.0531,0.005149,0.005149,0.005149
51,16527.4,0.05248,0.99366,1,1.05231,0.00505,0.00505,0.00505
52,16861.8,0.05339,0.99366,1,1.05238,0.004951,0.004951,0.004951
