epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,148.604,1.15452,0.91484,0.98637,1.71799,0.00333056,0.00333056,0.00333056
2,308.772,0.45977,0.96253,0.99708,1.60766,0.00659792,0.00659792,0.00659792
3,453.439,0.33287,0.92506,0.99708,1.64379,0.00979928,0.00979928,0.00979928
4,597.114,0.30841,0.95961,0.99854,1.598,0.009703,0.009703,0.009703
5,747.651,0.24938,0.96594,0.99903,1.59077,0.009604,0.009604,0.009604
6,894.719,0.21145,0.95085,0.99854,1.60078,0.009505,0.009505,0.009505
7,1039.6,0.18452,0.97178,1,1.57934,0.009406,0.009406,0.009406
8,1186.44,0.1637,0.97908,0.99951,1.57731,0.009307,0.009307,0.009307
9,1334.55,0.14353,0.97518,1,1.57208,0.009208,0.009208,0.009208
10,1482.78,0.14841,0.97664,1,1.57354,0.009109,0.009109,0.009109
11,1627.12,0.12116,0.97372,1,1.57362,0.00901,0.00901,0.00901
12,1773.43,0.12303,0.97859,1,1.57066,0.008911,0.008911,0.008911
13,1919.97,0.11174,0.97956,1,1.56634,0.008812,0.008812,0.008812
14,2066.49,0.10974,0.98151,0.99951,1.56715,0.008713,0.008713,0.008713
15,2210.18,0.0894,0.98005,1,1.56638,0.008614,0.008614,0.008614
16,2356.94,0.101,0.98054,1,1.56755,0.008515,0.008515,0.008515
17,2504.87,0.08609,0.98102,1,1.5657,0.008416,0.008416,0.008416
18,2650.78,0.07711,0.9854,1,1.56223,0.008317,0.008317,0.008317
19,2796.06,0.08764,0.98394,1,1.56326,0.008218,0.008218,0.008218
20,2940.23,0.08309,0.9854,1,1.56172,0.008119,0.008119,0.008119
21,3084.89,0.07968,0.98637,1,1.56062,0.00802,0.00802,0.00802
22,3233.68,0.08079,0.98054,1,1.56364,0.007921,0.007921,0.007921
23,3381.16,0.0752,0.98394,1,1.56083,0.007822,0.007822,0.007822
24,3527.05,0.071,0.98832,1,1.55815,0.007723,0.007723,0.007723
25,3671.82,0.07327,0.98881,1,1.55718,0.007624,0.007624,0.007624
26,3818.11,0.06254,0.99075,1,1.55654,0.007525,0.007525,0.007525
27,3977.01,0.06695,0.99075,1,1.55735,0.007426,0.007426,0.007426
28,4139.49,0.06004,0.98978,1,1.55675,0.007327,0.007327,0.007327
29,4304.83,0.06077,0.98832,1,1.55709,0.007228,0.007228,0.007228
30,4452.52,0.0504,0.98686,1,1.55872,0.007129,0.007129,0.007129
31,4597.96,0.05062,0.98832,1,1.55645,0.00703,0.00703,0.00703
32,4744.11,0.04808,0.99173,1,1.55346,0.006931,0.006931,0.006931
33,4890.05,0.05146,0.99319,1,1.55375,0.006832,0.006832,0.006832
34,5036.38,0.06061,0.99027,1,1.55395,0.006733,0.006733,0.006733
35,5181.64,0.04576,0.99027,1,1.55413,0.006634,0.006634,0.006634
36,5328.54,0.0577,0.98929,1,1.55656,0.006535,0.006535,0.006535
37,5475.81,0.05148,0.9927,1,1.55186,0.006436,0.006436,0.006436
38,5621.19,0.04942,0.99075,1,1.55478,0.006337,0.006337,0.006337
39,5767.4,0.04471,0.98783,1,1.55668,0.006238,0.006238,0.006238
40,5912.34,0.04214,0.99319,1,1.55162,0.006139,0.006139,0.006139
41,6064.95,0.04193,0.98929,1,1.55485,0.00604,0.00604,0.00604
42,6220.6,0.03678,0.99124,1,1.55345,0.005941,0.005941,0.005941
43,6367.87,0.0334,0.9927,1,1.55267,0.005842,0.005842,0.005842
44,6515.44,0.03589,0.9927,1,1.55219,0.005743,0.005743,0.005743
45,6663.03,0.04484,0.99124,1,1.55322,0.005644,0.005644,0.005644
46,6807.44,0.03895,0.9927,1,1.55186,0.005545,0.005545,0.005545
47,6954.43,0.04216,0.99124,1,1.55344,0.005446,0.005446,0.005446
48,7099.53,0.03761,0.99027,1,1.55279,0.005347,0.005347,0.005347
49,7246.14,0.03694,0.99221,1,1.55177,0.005248,0.005248,0.005248
50,7392.29,0.03297,0.99319,1,1.5518,0.005149,0.005149,0.005149
51,7538.4,0.03723,0.99173,1,1.55187,0.00505,0.00505,0.00505
52,7703.28,0.03177,0.9927,1,1.55171,0.004951,0.004951,0.004951
53,7877.19,0.03499,0.99367,1,1.55099,0.004852,0.004852,0.004852
54,8039.89,0.02528,0.99319,1,1.55014,0.004753,0.004753,0.004753
55,8185.91,0.02417,0.99319,1,1.55029,0.004654,0.004654,0.004654
56,8330.99,0.02324,0.99367,1,1.55116,0.004555,0.004555,0.004555
57,8477.22,0.02345,0.99416,1,1.5506,0.004456,0.004456,0.004456
58,8622.52,0.0252,0.99416,1,1.54943,0.004357,0.004357,0.004357
59,8769,0.02468,0.99416,1,1.54969,0.004258,0.004258,0.004258
60,8915.97,0.02398,0.99416,1,1.55019,0.004159,0.004159,0.004159
61,9067.65,0.02346,0.99367,1,1.55004,0.00406,0.00406,0.00406
62,9223.95,0.0212,0.99367,1,1.55048,0.003961,0.003961,0.003961
63,9377.43,0.01914,0.99367,1,1.55064,0.003862,0.003862,0.003862
